protein	goTerm	degree	score
FBgn0052675	GO:0038023	16	0.012185215272136474
FBgn0260632	GO:0008063	167	0.1348497156783103
FBgn0002466	GO:0008063	43	0.03411860276198213
FBgn0003687	GO:0016251	230	0.18602761982128352
FBgn0033645	GO:0016251	3	0.0016246953696181965
FBgn0024277	GO:0007412	59	0.047116165718927704
FBgn0052704	GO:0007412	30	0.023558082859463852
FBgn0285958	GO:0006027	15	0.011372867587327376
FBgn0263933	GO:0006027	131	0.10560519902518278
FBgn0032811	GO:0006695	11	0.008123476848090982
FBgn0039489	GO:0006695	5	0.003249390739236393
FBgn0003118	GO:0001742	134	0.10804224207961008
FBgn0262139	GO:0001742	27	0.021121039805036556
FBgn0035838	GO:0005634	79	0.06336311941510966
FBgn0085196	GO:0005634	3	0.0016246953696181965
FBgn0012003	GO:0030533	4	0.002437043054427295
FBgn0053826	GO:0030533	11	0.008123476848090982
FBgn0039597	GO:0046008	8	0.005686433793663688
FBgn0025638	GO:0046008	119	0.0958570268074736
FBgn0000247	GO:0005085	12	0.008935824532900082
FBgn0003124	GO:0005085	323	0.26157595450852966
FBgn0000229	GO:0005524	251	0.20308692120227456
FBgn0011661	GO:0005524	291	0.2355808285946385
FBgn0044871	GO:0005801	79	0.06336311941510966
FBgn0030623	GO:0005801	21	0.016246953696181964
FBgn0283649	GO:0061630	16	0.012185215272136474
FBgn0004864	GO:0061630	163	0.13160032493907392
FBgn0038028	GO:0005575	7	0.00487408610885459
FBgn0004598	GO:0005575	33	0.025995125913891144
FBgn0259685	GO:0035332	78	0.06255077173030058
FBgn0024330	GO:0035332	119	0.0958570268074736
FBgn0020414	GO:0040003	11	0.008123476848090982
FBgn0039010	GO:0040003	36	0.02843216896831844
FBgn0035911	GO:0008470	19	0.01462225832656377
FBgn0038512	GO:0008470	6	0.004061738424045491
FBgn0053247	GO:0005737	4	0.002437043054427295
FBgn0261832	GO:0005737	3	0.0016246953696181965
FBgn0028369	GO:0016202	38	0.030056864337936636
FBgn0038755	GO:0016202	19	0.01462225832656377
FBgn0052707	GO:0005680	28	0.021933387489845652
FBgn0263490	GO:0005680	14	0.010560519902518278
FBgn0034588	GO:0006629	42	0.03330625507717303
FBgn0034407	GO:0006629	7	0.00487408610885459
FBgn0026061	GO:0070062	13	0.00974817221770918
FBgn0037708	GO:0070062	27	0.021121039805036556
FBgn0033806	GO:0035363	18	0.01380991064175467
FBgn0039421	GO:0035363	11	0.008123476848090982
FBgn0029976	GO:0010877	51	0.04061738424045491
FBgn0037328	GO:0010877	448	0.36311941510966694
FBgn0286511	GO:0006654	14	0.010560519902518278
FBgn0032346	GO:0006654	69	0.05523964256701868
FBgn0017457	GO:0089701	93	0.07473598700243704
FBgn0036327	GO:0089701	40	0.03168155970755483
FBgn0033100	GO:0106034	6	0.004061738424045491
FBgn0030577	GO:0106034	11	0.008123476848090982
FBgn0260632	GO:0005634	167	0.1348497156783103
FBgn0036945	GO:0005634	11	0.008123476848090982
FBgn0265174	GO:0006506	7	0.00487408610885459
FBgn0262402	GO:0006506	7	0.00487408610885459
FBgn0015589	GO:0007405	145	0.11697806661251016
FBgn0052029	GO:0007405	11	0.008123476848090982
FBgn0267253	GO:0008150	9	0.006498781478472786
FBgn0034928	GO:0008150	4	0.002437043054427295
FBgn0034141	GO:0043048	62	0.04955320877335499
FBgn0010602	GO:0043048	472	0.3826157595450853
FBgn0261108	GO:0006914	27	0.021121039805036556
FBgn0036022	GO:0006914	20	0.015434606011372868
FBgn0010333	GO:0046843	286	0.23151909017059302
FBgn0037204	GO:0046843	3	0.0016246953696181965
FBgn0259152	GO:0006611	99	0.07961007311129163
FBgn0043900	GO:0006611	48	0.038180341186027617
FBgn0262478	GO:0003674	3	0.0016246953696181965
FBgn0031592	GO:0003674	66	0.05280259951259139
FBgn0032597	GO:0016226	21	0.016246953696181964
FBgn0029892	GO:0016226	15	0.011372867587327376
FBgn0034827	GO:0007288	19	0.01462225832656377
FBgn0013753	GO:0007288	58	0.0463038180341186
FBgn0050051	GO:0031965	3	0.0016246953696181965
FBgn0016032	GO:0031965	3	0.0016246953696181965
FBgn0011225	GO:0045167	109	0.08773354995938261
FBgn0003046	GO:0045167	5	0.003249390739236393
FBgn0031455	GO:0016082	82	0.06580016246953696
FBgn0250786	GO:0016082	80	0.06417546709991877
FBgn0038373	GO:0019953	45	0.03574329813160033
FBgn0014026	GO:0019953	217	0.17546709991876522
FBgn0035141	GO:0006457	91	0.07311129163281885
FBgn0032781	GO:0006457	22	0.017059301380991064
FBgn0065113	GO:0048800	3	0.0016246953696181965
FBgn0016797	GO:0048800	126	0.10154346060113728
FBgn0011715	GO:0008285	235	0.190089358245329
FBgn0264326	GO:0008285	88	0.07067424857839155
FBgn0032598	GO:0005975	8	0.005686433793663688
FBgn0027594	GO:0005975	46	0.036555645816409424
FBgn0034382	GO:0034626	210	0.16978066612510154
FBgn0053771	GO:0034626	3	0.0016246953696181965
FBgn0037819	GO:0016706	2	0.0008123476848090983
FBgn0037756	GO:0016706	31	0.024370430544272948
FBgn0260945	GO:0051124	204	0.16490658001624695
FBgn0086677	GO:0051124	22	0.017059301380991064
FBgn0026760	GO:0015026	15	0.011372867587327376
FBgn0032233	GO:0015026	28	0.021933387489845652
FBgn0039265	GO:0012505	17	0.012997562956945572
FBgn0017561	GO:0012505	19	0.01462225832656377
FBgn0262436	GO:0003730	7	0.00487408610885459
FBgn0011288	GO:0003730	67	0.05361494719740049
FBgn0035111	GO:0016078	42	0.03330625507717303
FBgn0261850	GO:0016078	98	0.07879772542648253
FBgn0035196	GO:0090575	6	0.004061738424045491
FBgn0015271	GO:0090575	62	0.04955320877335499
FBgn0030855	GO:0005524	101	0.08123476848090982
FBgn0262166	GO:0005524	56	0.04467912266450041
FBgn0044048	GO:0005615	16	0.012185215272136474
FBgn0020390	GO:0005615	2	0.0008123476848090983
FBgn0039767	GO:0031625	24	0.01868399675060926
FBgn0002937	GO:0031625	18	0.01380991064175467
FBgn0037937	GO:0005634	15	0.011372867587327376
FBgn0031040	GO:0005634	7	0.00487408610885459
FBgn0031815	GO:0006661	43	0.03411860276198213
FBgn0003892	GO:0006661	168	0.13566206336311942
FBgn0003930	GO:0000353	6	0.004061738424045491
FBgn0028945	GO:0000353	4	0.002437043054427295
FBgn0026384	GO:0004984	15	0.011372867587327376
FBgn0003716	GO:0004984	251	0.20308692120227456
FBgn0040031	GO:0055085	16	0.012185215272136474
FBgn0027568	GO:0055085	50	0.039805036555645816
FBgn0033257	GO:0015271	10	0.007311129163281885
FBgn0263830	GO:0015271	4	0.002437043054427295
FBgn0016641	GO:0070373	21	0.016246953696181964
FBgn0000114	GO:0070373	65	0.05199025182778229
FBgn0038063	GO:0009566	17	0.012997562956945572
FBgn0001297	GO:0009566	141	0.11372867587327376
FBgn0034259	GO:0005759	381	0.30869212022745735
FBgn0035501	GO:0005759	2	0.0008123476848090983
FBgn0250757	GO:0015293	36	0.02843216896831844
FBgn0263968	GO:0015293	48	0.038180341186027617
FBgn0004644	GO:0007427	96	0.07717303005686434
FBgn0052601	GO:0007427	8	0.005686433793663688
FBgn0050037	GO:0016758	6	0.004061738424045491
FBgn0031434	GO:0016758	14	0.010560519902518278
FBgn0002284	GO:0005839	218	0.17627944760357434
FBgn0031519	GO:0005839	26	0.020308692120227456
FBgn0033159	GO:0070593	47	0.03736799350121852
FBgn0262518	GO:0070593	92	0.07392363931762795
FBgn0033226	GO:0019915	25	0.01949634443541836
FBgn0039175	GO:0019915	40	0.03168155970755483
FBgn0034842	GO:0005634	95	0.07636068237205523
FBgn0036534	GO:0005634	69	0.05523964256701868
FBgn0004045	GO:0016298	49	0.03899268887083672
FBgn0041248	GO:0016298	8	0.005686433793663688
FBgn0261383	GO:0016180	8	0.005686433793663688
FBgn0033261	GO:0016180	12	0.008935824532900082
